0.025000 0.025000 0.024997
0.025000 0.075000 0.024381
0.025000 0.125000 0.023165
0.025000 0.175000 0.021379
0.025000 0.225000 0.019066
0.025000 0.275000 0.016284
0.025000 0.325000 0.013101
0.025000 0.375000 0.009595
0.025000 0.425000 0.005853
0.025000 0.475000 0.001967
0.075000 0.025000 0.070004
0.075000 0.075000 0.068280
0.075000 0.125000 0.064875
0.075000 0.175000 0.059873
0.075000 0.225000 0.053396
0.075000 0.275000 0.045605
0.075000 0.325000 0.036691
0.075000 0.375000 0.026873
0.075000 0.425000 0.016393
0.075000 0.475000 0.005510
0.125000 0.025000 0.110023
0.125000 0.075000 0.107314
0.125000 0.125000 0.101963
0.125000 0.175000 0.094101
0.125000 0.225000 0.083922
0.125000 0.275000 0.071676
0.125000 0.325000 0.057666
0.125000 0.375000 0.042235
0.125000 0.425000 0.025764
0.125000 0.475000 0.008659
0.175000 0.025000 0.145052
0.175000 0.075000 0.141481
0.175000 0.125000 0.134426
0.175000 0.175000 0.124061
0.175000 0.225000 0.110641
0.175000 0.275000 0.094497
0.175000 0.325000 0.076025
0.175000 0.375000 0.055682
0.175000 0.425000 0.033967
0.175000 0.475000 0.011416
0.225000 0.025000 0.175089
0.225000 0.075000 0.170778
0.225000 0.125000 0.162262
0.225000 0.175000 0.149751
0.225000 0.225000 0.133552
0.225000 0.275000 0.114065
0.225000 0.325000 0.091769
0.225000 0.375000 0.067213
0.225000 0.425000 0.041001
0.225000 0.475000 0.013780
0.275000 0.025000 0.200132
0.275000 0.075000 0.195205
0.275000 0.125000 0.185471
0.275000 0.175000 0.171170
0.275000 0.225000 0.152655
0.275000 0.275000 0.130381
0.275000 0.325000 0.104896
0.275000 0.375000 0.076827
0.275000 0.425000 0.046866
0.275000 0.475000 0.015751
0.325000 0.025000 0.220180
0.325000 0.075000 0.214759
0.325000 0.125000 0.204051
0.325000 0.175000 0.188318
0.325000 0.225000 0.167948
0.325000 0.275000 0.143443
0.325000 0.325000 0.115405
0.325000 0.375000 0.084524
0.325000 0.425000 0.051562
0.325000 0.475000 0.017330
0.375000 0.025000 0.235232
0.375000 0.075000 0.229440
0.375000 0.125000 0.218001
0.375000 0.175000 0.201193
0.375000 0.225000 0.179431
0.375000 0.275000 0.153251
0.375000 0.325000 0.123296
0.375000 0.375000 0.090305
0.375000 0.425000 0.055088
0.375000 0.475000 0.018515
0.425000 0.025000 0.245286
0.425000 0.075000 0.239248
0.425000 0.125000 0.227319
0.425000 0.175000 0.209795
0.425000 0.225000 0.187104
0.425000 0.275000 0.159805
0.425000 0.325000 0.128570
0.425000 0.375000 0.094168
0.425000 0.425000 0.057445
0.425000 0.475000 0.019307
0.475000 0.025000 0.250341
0.475000 0.075000 0.244179
0.475000 0.125000 0.232007
0.475000 0.175000 0.214123
0.475000 0.225000 0.190966
